Departamento,Actas totalizadas,% totalizadas,Actas pendientes,% pendientes
ATLANTIDA,654,69.65%,203,21.62%
COLON,456,66.67%,160,23.39%
COMAYAGUA,919,80.54%,81,7.10%
COPAN,654,74.66%,151,17.24%
CORTES,2577,77.34%,294,8.82%
CHOLUTECA,898,81.56%,95,8.63%
EL PARAISO,860,78.32%,102,9.29%
FRANCISCO MORAZAN,2408,70.78%,387,11.38%
GRACIAS A DIOS,124,70.06%,30,16.95%
INTIBUCA,420,73.56%,87,15.24%
ISLAS DE LA BAHIA,127,81.94%,0,0.00%
LA PAZ,342,69.65%,83,16.90%
LEMPIRA,577,72.49%,162,20.35%
OCOTEPEQUE,266,72.88%,73,20.00%
OLANCHO,974,82.40%,102,8.63%
SANTA BARBARA,847,77.28%,117,10.68%
VALLE,369,80.57%,34,7.42%
YORO,904,70.19%,215,16.69%
